type	english	french	notes
	The place became crater on each side,	L'endroit est devenu cratère de chaque côté #8b,	#8b: Le poème est écrit en 1960, en pleine |guerre froide|http://fr.wikipedia.org/wiki/Guerre_froide|. « Chaque côté » ({each side}) fait référence aux blocs de l'Ouest et de l'Est, chacun détenteur de l'|arme nucléaire|http://fr.wikipedia.org/wiki/Arme_nucl%C3%A9aire#Histoire|.
	sank down to its first skull,	s'effondra jusqu'à son premier #9 crâne,	#9: La Terre dévastée est revenue à son état initial ou « premier » ({first}). Elle est comparée à un « crâne » ({skull}) avec les « cratères » ({craters}) à la place des yeux.
	shedding forests, oceans, dried	versant #10 forêts, océans, os	#10: La Terre « perd, se dépouille de » ({[is] shedding}) ses « fôrets » ({forests}) etc. comme on « verse des larmes » ({shed tears}).
	bones and neons, as it fell through	séchés et néons #11, alors qu'il tombait dans	#11: Les « néons » ({neons}), source de lumière artificielle, représentent les hommes. On peut entendre dans le mot « neon » comme une négation du mot « eon » ({éternité}), de part leur sonorité semblable, bien que d'étymologies différentes.
	time like a forgotten pitted stone.	l'oubli jeté comme une pierre trouée.	
			
strophe	These two men walked hopefully out	Ces deux hommes sont sortis pleins d'espoir	
	onto their hot empty planet	sur leur planète vide et chaude	
	with machines, rats, tanks,	avec machines, rats, cuves,	
	boxes, insects and the one odd set	boîtes, insectes et ce lot curieux	
	of three almost new snakes,	de trois serpents nouveaux ou presque #2,	
	to make the tests they were meant to do.	pour faire les essais qu'ils étaient censés faire.	
	But on the seventh month the cages	Mais le septième #12 mois les cages	#12: Le nombre « sept » ({seven}) est une allusion à la création du monde faite par Dieu en six jours. Il est dit dans la Genèse (|Gn 2, 3|http://fr.wikisource.org/wiki/Gen%C3%A8se_2|) : « Dieu se reposa au septième ({seventh}) jour de toute son œuvre, qu’il avait faite. Il bénit le septième jour, et il le sanctifia ». L'expérience des hommes sur Vénus a duré six mois, mais elle a mal tourné, et ils ont été obligés d'ouvrir les cages le septième mois.
	grew small, too small to interview,	sont devenues petites, trop petites pour interviewer,	
	too tight to bear. The rats were gray	trop étroites à supporter. Les rats étaient de grosses	
	and heavy things where they ran	choses grises qui couraient	
	against wire and the snakes built eggs	contre le grillage et les serpents fabriquaient œufs	
	on eggs and even the fish began	sur œufs et même les poissons ont commencé	
	to bump in water as they spawned	à se tamponner dans l'eau alors qu'ils proliféraient	
	on every side of each other's swim.	de tous côtés chez les uns et les autres #14.	#14: « De tous côtés chez les uns et les autres » traduit au mieux « {on every side of each other's swim} ». « {Swim} » correspond ici à « bain, zone de baignade ou de nage ».
	And the men grew listless; they opened	Et les hommes ont perdu leur enthousiasme ; ils ont ouvert	
	the pouch of dirt, undid each locked bin	le sac de terre, défait le verrou de chaque boîte	
	and let every creature loose	et relâché toutes les créatures	
	to live on Venus, or anyhow hide	pour qu'elles vivent sur Vénus, ou en tout cas se cachent	
	under rocks. Bees swarmed the air,	dans les rochers. Les abeilles ont essaimé dans l'air,	
	letting a warm pollen slide	laissant un pollen chaud glisser	
	from their wings and onto the grass.	de leurs ailes sur l'herbe.	
	The fish flapped to a small pool	Les poissons se sont débattus #15 vers un petit bassin	#15: « Se sont débattus » traduit au mieux « {flapped [fins]} » (ont battu [des nageoires]), à la façon des oiseaux qui « battent des ailes » ({flap wings}).
	and the rats untangled their hairs	et les rats ont démêlé leurs poils	
	and humped over the vestibule	et glissé par-dessus #16 le vestibule	#16: « Glissé par-dessus » ({slipped over}) est préféré à « sauté par-dessus » ({jumped over}) pour traduire « {humped over} » (passé par-dessus en se courbant).
	of the cramped balloon. Trees sprang	du ballon trop étroit #17. Des arbres ont surgi	#17: « Trop étroit » traduit au mieux « à l'étroit, exigu ».
	from lichen, the rock became a park,	du lichen, la roche est devenue un parc,	
	where, even at star-time, things brushed;	où, même sous les étoiles #18, des choses se frôlaient #19 ;	"#18: « Sous les étoiles » ({under the stars}) traduit au mieux « star-time » (moment des étoiles), qui est un mot inventé sur le modèle de « night-time » (de nuit), et son contraire « day-time » (de jour).
#19: « Se frôlaient » ({grazed, brushed against}) traduit au mieux « {brushed} » (brosser, se frotter)."
	even in the planet's new dark	même dans le nouvel entrejambe sombre	
	crotch, that air snag where snakes	de la planète, cette saillie d'air #20 où des serpents	#20: « Saillie d'air » traduit au mieux « {air snag} ». L'association de ces deux mots, inhabituelle en anglais, est conservée dans la traduction. Il s'agit d'une combinaison de « poche d'air » ({air pocket}) et de « protubérance » ({protuberance}) ou « chicot, moignon » ({snag}). Le mot « saillie », qui signifie aussi accouplement, renforce le caractère sexuel de la scène. Cela reste toutefois acceptable au regard du mot « snag » utilisé de façon métaphorique seulement en anglais.
	coupled and rats rubbed in disrepair,	s'accouplaient et des rats se frottaient dans le délabrement,	
	it grew quick and noisy with	c'est devenu vif et bruyant avec	
	a kind of wonder in the lonely air.	une sorte d'émerveillement dans la solitude de l'air.	
			
strophe	Old and withered, two Ph.D.'s	Vieux et flétris, deux docteurs	
	from Earth hobbled slowly back	venus de Terre boitillaient lentement	
	to their empty balloon, crying alone	vers leur ballon vide, pleurant seuls	
	for sense, for the troubling lack	sans comprendre #23, troublés d'avoir raté	#23: « Sans comprendre » ({without understanding}) traduit au mieux « for sense » (pour le sens).
	of something they ought to do,	quelque chose qu'ils auraient dû faire,	
	while countless fish slapped	tandis que d'innombrables poissons s'agitaient #24	#24: « S'agitaient » ({bustled about}) est préféré à « claquaient » ({slapped}) qui pourrait être pris pour « mourir » en langage familier. Les « poissons » ({fish}) frappaient dans l'eau, ou peut-être même leurs nageoires comme les hommes « frappent des mains » ({clap hands}) pour applaudir.
	and the waters grew, green came	et les eaux grossissaient, le vert est arrivé	
	taller and the happy rats sped	plus grand #24b et les rats heureux fonçaient	#24b: « Le vert est arrivé plus grand » ({green came taller}) est une tournure inhabituelle comme en anglais dans le texte. Sexton a choisi « {came} » (venu, arrivé) plutôt que « {became} » (devenu). Il s'agit de la végétation qui a grandi rapidement.
	through integrated forests,	à travers les forêts réunies,	
	barking like dogs at the top	aboyant comme des chiens en haut	
	of the sky. But the two men,	du ciel. Mais les deux hommes,	
	that last morning of death, before	en ce dernier matin de mort, avant	
	the first of light, watched the land	les premières lueurs, ont regardé le sol	
	of Venus, its sweetless shore,	de Vénus, son rivage sans douceur #27,	#27: « Sans douceur » traduit au mieux ({sweetless}) qui est un mot fabriqué, comme l'anglais le permet, avec l'ajout du suffixe « {less} » (sans).
	and thought, “This is the end.	et pensé, « C'est la fin.	
	This is the last of a man like me.”	C'est le dernier des hommes comme moi. »	
	Until they saw, over the mists	Jusqu'à ce qu'ils virent, au-dessus des brumes	
	of Venus, two fish creatures stop	de Vénus, deux créatures comme des poissons s'arrêter	
	on spangled legs and crawl	sur des jambes pailletées et ramper	
	from the belly of the sea.	du ventre de la mer.	
	And from the planet park	Et du parc de la planète	
	they heard the new fruit drop.	ils ont entendu le nouveau fruit #28 tomber.	#28: Le « nouveau fruit » ({new fruit}) est une allusion au |fruit de l’arbre de la connaissance du bien et du mal|http://fr.wikisource.org/wiki/Gen%C3%A8se_2| que Dieu a interdit à Adam de manger. L'histoire semble se répéter mais cette fois-ci sans la notion de bien et de mal, ni de tentation.
			
source	"|Venus and the Ark|http://www.poetryfoundation.org/poem/238192|, To Bedlam and Part Way Back, 1960, poetryfoundation.org.
|Récité|http://www.poetryfoundation.org/audio/VenusandtheArk_byAnneSexton.mp3| par Anne Sexton"	Vénus et l'arche, 05/2014	
			
url	2014/05/venus-et-l-arche.html		
image-src	https://lh3.googleusercontent.com/-wEmgVkC-PyM/U293pNjrfaI/AAAAAAAAFrY/8vRdlTDnSnc/s144/space-ark.jpg		
image-href	https://picasaweb.google.com/lh/photo/_3lKRowdI0q1EXQ4ZaKsktMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Analyse	"Cameron Karlsson, Sina Mehdikarimi, Samantha Lambert. |{Interactive Close Reading of ""Venus and the Ark""}|http://www.prism.gatech.edu/~ckarlsson3/|, www.prism.gatech.edu"	
