type	english	french	notes
	She’s not too far. She’s my encounter.	Il n'est pas trop loin #12. Il est ma rencontre.	#12: Son sexe n'est pas trop loin ({is not too far}), ce qui est pratique, et il est aussi sa nouvelle rencontre ({encounter}), comme un nouvel amant. Mais, c'est la rencontre d'un moment, par opposition à une liaison amoureuse durable.
	I beat her like a bell. I recline	Je le bats comme une cloche #13. Je m'allonge	#13: Sexton le bat comme une cloche ({beat her like a bell}) comme on sonne les cloches le jour du mariage !
	in the bower where you used to mount her.	sous la tonnelle #14 où tu avais l'habitude de le monter.	#14: La tonnelle ({bower}) n'est pas sans rappeler la tonnelle nuptiale de Cupidon et Psyché (|{Cupid and Psyche in the Nuptial Bower}|http://www.nationalgallery.ie/en/Collection/Selected%20Highlights/selectedhighlights/Hamilton.aspx|). Le mot « {bower} » signifie aussi « boudoir », associé à la notion de confort, d'élégance, d'intimité et de secret.
	You borrowed me on the flowered spread.	Tu m'empruntais #15 sur le tapis de fleurs.	#15: « Tu m'empruntais » traduit au mieux « {you borrowed me} », qui signifie à la fois « prendre » ({take}) et « rendre » ({give back}).
	At night, alone, I marry the bed.	La nuit, seule, je me marie avec le lit.	
			
	Take for instance this night, my love,	Prends par exemple cette nuit, mon amour,	
	that every single couple puts together	que chacun des couples compose #16	#16: « [Cette nuit] que chacun des couples compose » traduit au mieux « {every single couple puts together} ». L'idée n'est pas seulement de « passer la nuit ensemble » ({spend the night together}), mais de construire une relation forte au sein du couple, à travers l'acte sexuel.
	with a joint overturning, beneath, above,	dans un retournement conjoint, dessous, dessus,	
	the abundant two on sponge and feather,	à deux avec abondance #17 sur l'éponge et la plume #18,	"#17: « À deux avec abondance » traduit au mieux « {the abundant two} », qui donnent et prennent sans réserve, dans « un retournement conjoint » ({a joint overturning}).
#18: Les couples s'ébattent « sur l'éponge et la plume » ({on sponge and feather}). La literie est comparée à une sorte de génoise ({feather sponge cake}) : un gâteau mousseux comme l'éponge ({sponge}) et léger comme la plume ({feather}). L'acte d'amour serait comme un dessert !"
	kneeling and pushing, head to head.	s'agenouillant et poussant, tête contre tête.	
	At night alone, I marry the bed.	La nuit, seule, je me marie avec le lit.	
			
	I break out of my body this way,	J'éclate hors de mon corps #19 de cette façon,	#19: « J'éclate hors de mon corps » ({I break out of my body}) traduit au mieux la notion de sortie et de cassure. Sexton se libère de son corps qui ressent le manque de l'amant, dans une explosion de plaisir.
	an annoying miracle. Could I	un miracle agaçant #20. Pourrais-je	#20: L'orgasme est comparé à un « miracle » ({miracle}), mais il est « agaçant » ({annoying}) d'avoir à l'obtenir par soi-même de « cette façon » ({this way}).
	put the dream market on display?	mettre le marché du rêve à l'affiche #21 ?	#21: « Pourrais-je/mettre le marché du rêve à l'affiche » traduit au mieux « {could I/put the dream market on display} ». Le plaisir solitaire est certes gratifiant, comparable à un rêve ({dream}). Mais la question est à la fois rhétorique et une forme d'autodérision.
	I am spread out. I crucify.	Je suis étalée. Je crucifie #22.	#22: « Je crucifie » ({I crucify}) est une utilisation inhabituelle du verbe qui est sans objet. Sexton est « étalée » ({spread out}) les bras en croix, elle ressent à la fois un sentiment de contentement et de culpabilité. Elle peut virtuellement crucifier son corps puisqu'elle en est sortie. L'action de « crucifier » est en forte opposition avec le « miracle ».
	My little plum is what you said.	Ma petite pomme #23, c'est ce que tu disais.	#23: « Ma petite pomme » traduit au mieux « {my little plum} », bien que le mot « {plum} » veuille dire « prune ».
	At night, alone, I marry the bed.	La nuit, seule, je me marie avec le lit.	
			
	Then my black-eyed rival came.	Alors ma rivale aux yeux noirs #24 arriva.	#24: Dans « ma rivale aux yeux noirs » ({black-eyed rival}), la couleur « noire » ({black}) représente ce qui est néfaste, et rappelle la « fin de la liaison » qui  « est toujours la mort ». Les yeux de la rivale, au pluriel, s'opposent à « l'oeil glissant » du début (voir la note #4).
	The lady of water, rising on the beach,	La dame de l'eau #25, se levant sur la plage,	#25: « La dame de l'eau » ({the lady of water}) est comme une nymphe. Les |nymphes|http://fr.wikipedia.org/wiki/Nymphe_grecque| de la mythologie grecque sont d'une rare beauté et bienfaisantes. Elles protègent les fiancés qui viennent plonger dans leur source.
	a piano at her fingertips, shame	un piano au bout des doigts, la honte	
	on her lips and a flute’s speech.	sur les lèvres #26 et le discours de la flûte #27.	"#26: Cette nymphe est une muse de la musique, dont les notes sortent du « bout des [de ses] doigts » ({her fingertips}) comme d'un « piano » ({piano}), et de sa bouche comme d'une flûte. La musique de la muse envoûte le coeur des hommes. Mais ses baisers portent « la honte/sur les [ses] lèvres » ({shame/on her lips}), car elle séduit l'amant de Sexton,
#27: Le « discours de la flûte » ({flute’s speech}) est comme un chant nuptial. La |flûte de Pan|http://www.flute-de-pan.fr/La-symbolique-originelle-de-la| en particulier, a pour valeur symbolique de favoriser les hyménées pastoraux."
	And I was the knock-kneed broom instead.	Et j'étais le balai cagneux #28 à la place.	#28: Sexton se compare à un « balai cagneux » ({knock-kneed broom}), car la vision de cette rivale lui fait perdre pied. Le balai est aussi un |symbole phallique|http://lailaseshat2.canalblog.com/archives/2008/10/20/9912055.html|. Sexton se retrouve à jouer elle-même le rôle de l'amant qui l'a quittée. Le balai que l'on saute (|{jumping the broom}|http://en.wikipedia.org/wiki/Jumping_the_broom|), symbolise également le mariage.  Enfin, le balai est associé aux sorcières, rejetées ou ignorées de tous, auxquelles Sexton se compare dans « |Son genre|http://anne-sexton.blogspot.com/2011/04/son-genre.html| » ({Her Kind}).
	At night, alone, I marry the bed.	La nuit, seule, je me marie avec le lit.	
			
	She took you the way a woman takes	Elle t'a pris comme une femme prend	
	a bargain dress off the rack	une robe bon marché #29 du présentoir	#29: « Une robe bon marché » traduit au mieux « {a bargain dress} ». La signification littérale est « une robe à marchander ou négocier » ({bargain dress}) mais le mot « bon marché » ({cheap}) est plus courant. Il pourrait s'agir aussi d'une robe d'occasion ({used dress}). La rivale prend l'homme contre son corps, comme une femme appliquerait une robe sur son buste pour voir si elle lui va.
	and I broke the way a stone breaks.	et je me suis brisée #30 comme une pierre se brise.	#30: « Je me suis brisée » ({I broke}) reprend la notion d'éclatement (voir la note #19) et la comparaison de son être à une tribu (voir la note #6).
	I give back your books and fishing tack.	Je rends tes livres et ton attirail de pêche #31.	#31: « Attirail de pêche » traduit au mieux « {fishing tack} » bien que l'expression anglaise exacte soit « {fishing tackle} ».
	Today’s paper says that you are wed.	Le journal du jour dit que vous êtes mariés.	
	At night, alone, I marry the bed.	La nuit, seule, je me marie avec le lit.	
			
	The boys and girls are one tonight.	Les garçons et les filles #32 ne font qu'un, ce soir.	#32: L'expression « les garçons et les filles ne font qu'un » ({the boys and girls are one}) associe la fusion charnelle à la jeunesse des corps. Soit l'amour rajeunit, soit la fin de la liaison amoureuse fait prendre conscience à Sexton que les années passent.
	They unbutton blouses. They unzip flies.	Ils #33 déboutonnent les corsages. Ils ouvrent les braguettes.	#33: Dans « ils déboutonnent les corsages » ({they unbutton blouses}), ainsi que dans les vers suivant, il y a une incertitude sur le sujet, car « {they} » n'a pas de genre en anglais. Le mot « ils » doit être compris comme à la fois les garçons et les filles.
	They take off shoes. They turn off the light.	Ils retirent les chaussures. Ils éteignent la lumière.	
	The glimmering creatures are full of lies.	Les créatures luisantes sont pleines de mensonges #34.	#34: Les amoureux, « créatures luisantes » ({glimmering creatures}), sont comparés à des lucioles qui s'agitent dans la nuit. Malgré l'intensité de leurs ébats qui font des étincelles, leurs relations sont déshumanisées et éphémères, ou pleines de mensonges ({full of lies}).
	They are eating each other. They are overfed.	Ils se mangent les uns les autres. Ils sont trop nourris #35.	#35: « Ils se mangent les uns les autres » ({they are eating each other}) car ils prennent plus à l'autre qu'ils ne leur donnent. Sexton leur reproche alors d'être « trop nourris » ({overfed}), probablement par dépit ou jalousie. Cette dernière strophe s'oppose à la première, dans laquelle elle se dit « nourrie » ({fed}) (voir la note #9).
	At night, alone, I marry the bed.	La nuit, seule, je me marie avec le lit.	
			
source	|The Ballad of the Lonely Masturbator|http://www.poetryfoundation.org/poem/171282|, Love Poems, 1969, poetryfoundation.org	La ballade de la masturbatrice solitaire, 05/2011	
			
url	2011/05/la-ballade-de-la-masturbatrice.html		
image-src	https://lh4.googleusercontent.com/-IeEQS0R3xUc/TeJIxyKi5pI/AAAAAAAADGg/qbt5_YnWZP8/s144/ballad-of-lonely-masturbator.jpg		
image-href	https://picasaweb.google.com/lh/photo/7e5jDqVt24kpxpDYwZp0DNMTjNZETYmyPJy0liipFm0?feat=directlink		
