type	english	french	notes
	like a field or a shawl.	comme un champ ou un châle #9.	#9: « Ses cheveux poussant/comme un champ ou un châle » ({his hair growing/like a field or a shawl}) est une indication du temps qui passe dans la tombe, car conformément à la croyance populaire, les cheveux continuent de pousser après la mort (bien que cela soit |faux|http://tatoufaux.com/?Les-cheveux-poussent-apres-la-Mort|). Le mot « cheveux » est choisi pour traduire « hair » puisqu'ils sont comparés à un « châle » ({shawl}), et qu'il est fait référence au « crâne » (skull). Le mot « |{hair}|http://en.wiktionary.org/wiki/hair| » désigne aussi les « poils » du corps, qui sont comparés à un « champ » ({field}).
	I lay by the moss	Je m'allonge contre la mousse	
	of his skin until	de sa peau  #10 jusqu'à ce que	#10: « La mousse/de sa peau » ({the moss/of his skin}) exprime la sensation ressentie au toucher de la peau du corps mort, tel que l'imagine l'auteur. La mousse symbolise la douceur, le confort, et par extension la protection et la tendresse. La métaphore peut s'expliquer de deux façons. Soit la jeune fille s'allonge sur son père pour chercher protection contre son angoisse d'être dans le noir, et de la mort qu'elle pressent. Soit Sexton, en s'identifiant à la jeune fille, s'imagine avoir une relation sexuelle avec son père (voir la note  #6). Il faut noter que Sexton a déclaré avoir été harcelée sexuellement par son père. Son psychiatre a toutefois expliqué qu'il est très difficile pour beaucoup de patients de distinguer la fantasme de la réalité.
	it grew strange. My sisters	ça devienne étrange #11. Mes sœurs	#11: « Jusqu'à ce que/ça devienne étrange » ({until/it grew strange}) s'interprète de deux manières. Soit la jeune fille commence à ressentir une sensation d'épuisement physique et moral. Soit Sexton, à travers la jeune fille, ressent du plaisir sexuel pour la première fois, allongée sur son père.
	will never know that I fall	ne sauront jamais que je tombe	
	out of myself and pretend	hors de moi #12 et fais semblant de croire	#12: « Je tombe/hors de moi » ({I fall/out of myself}) décrit la perte de contact avec la réalité, ou un état émotionnel intense. L'expression est inhabituelle dans les deux langues, et se comprend de deux façons. Soit la jeune fille réalise qu'elle va mourir, d'ailleurs ses « sœurs/ne sauront jamais » ({my sisters/will never know}) ce qu'elle est en train de vivre. Elle est désespérée, terrorisée , et elle en perd la tête. Soit Sexton, dans le corps de la jeune fille, ressent un plaisir intense, à en perdre le sens de la réalité. Et elle est heureuse de ne pas avoir à partager cette expérience avec ses sœurs (voir la note #2).
	that Allah will not see	qu'Allah ne verra pas	
	how I hold my daddy	comment je tiens mon papa,	
	like an old stone tree.	comme un vieil arbre de pierre #13.	#13: « Comme un vieil arbre de pierre » ({like an old stone tree}) s’inscrit en opposition à la « la mousse de sa peau ». La pierre est dure et solide. La comparaison peut s'expliquer de deux manières. Soit la jeune fille s'accroche désespérément à son père, dans un dernier élan de survie. Soit Sexton, en s'identifiant à la jeune fille, et sujette au |complexe d'Électre|http://fr.wikipedia.org/wiki/Complexe_d%27%C3%89lectre|, prend finalement possession du phallus paternel. Dans les deux cas, elle ressent de la honte, et « fait semblant de croire/qu'Allah ne verra pas » ({pretend/that Allah will not see}) son geste de désespoir ou de victoire.
			
source	|The Moss of His Skin|http://www.poetryfoundation.org/archive/poem.html?id=171269|, To Bedlam and Part Way Back, 1960, poetryfoundation.org	La mousse de sa peau, 04/2011	
			
url	2011/04/la-mousse-de-sa-peau.html		
image-src	https://lh4.googleusercontent.com/-72vKcJRGu80/TZicDlWlkYI/AAAAAAAAC5E/C5VHUVaVLGA/s144/the-moss-of-his-skin.jpg		
image-href	https://picasaweb.google.com/lh/photo/f__dfkqagZ2jClH43TSOaNMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Analyse	"Shu-hua Chung. |{The Electra Complex in Sylvia Plath and Anne Sexton’s Poems}|http://140.122.100.145/ntnuj/j53/j532hs-6.pdf|,
{Journal of National Taiwan Normal University: Humanities &amp; Social Sciences 2008, 53(2), 87-99}"	
