type	english	french	notes
	one is in a shoe factory cursing the machine,	l'une est #11c dans une fabrique de chaussures maudissant la machine,	#11c: L'anaphore des mots « l'une est » ({one is}) renforce le manque d'enthousiasme de ces femmes qui pourtant « chantent ensemble » ({sing together}) (voir la note #11e).
	one is at the aquarium tending a seal,	l'une est à l'aquarium s'occupant d'un phoque,	
	one is dull at the wheel of her Ford,	l'une est terne au volant de sa Ford,	
	one is at the toll gate collecting,	l'une est la barrière de péage encaissant,	
	one is tying the cord of a calf in Arizona,	l'une #11d attache la corde d'un veau en Arizona,	#11d: La répétition « l'une est » est réduite à « l'une » car l'emploi de la locution « l'une est en train de » ({one is [...]ing}) nuirait à la fluidité du poème, ou changerait le sens.
	one is straddling a cello in Russia,	l'une enfourche un violoncelle en Russie,	
	one is shifting pots on the stove in Egypt,	l'une déplace des pots sur un fourneau en Égypte,	
	one is painting her bedroom walls moon color,	l'une peint les murs de sa chambre couleur de lune,	
	one is dying but remembering a breakfast,	l'une se meurt mais se souvient d'un petit déjeuner,	
	one is stretching on her mat in Thailand,	l'une s'étire sur sa natte en Thaïlande,	
	one is wiping the ass of her child,	l'une essuie le cul de son enfant,	
	one is staring out the window of a train	l'une regarde par la fenêtre d'un train	
	in the middle of Wyoming and one is	au milieu du Wyoming et l'une est	
	anywhere and some are everywhere and all	n'importe où et certaines sont partout et toutes	
	seem to be singing, although some can not	semblent #11e chanter, bien que certaines ne peuvent #12	"#11e: La plupart des femmes « semblent chanter » ({seem to be singing}) « partout » ({everywhere}) en éloge à leurs ventres sains et aptes à la maternité.
#12: « Certaines » ({some}) femmes ne chantent pas parce qu'elles « ne peuvent [pas] » ({can not}) procréer, et d'autres peut-être, refusent de jouer le rôle qu'on attend d'elles."
	sing a note.	chanter une note.	
			
strophe	Sweet weight,	Douce masse #6,	
	in celebration of the woman I am	en célébration #1 de la femme que je suis	
	let me carry a ten-foot scarf,	laissez-moi porter un foulard de dix pieds,	
	let me drum for the nineteen-year-olds,	laissez-moi jouer du tambour pour les jeunes de dix-neuf ans,	
	let me carry bowls for the offering	laissez-moi porter des bols d'offrande	
	(if that is my part).	(si c'est mon rôle #12b).	#12b: « Rôle » ({role}) est préféré à « partie » ({part}) car « si c'est ma partie » serait maladroit dans ce sens et pourrait être confondu avec « si c'est mon domaine, ma spécialité etc. »
	Let me study the cardiovascular tissue,	Laissez-moi étudier le tissu cardiovasculaire,	
	let me examine the angular distance of meteors,	laissez-moi examiner la distance angulaire des météores,	
	let me suck on the stems of flowers	laissez-moi sucer les tiges des fleurs	
	(if that is my part).	(si c'est mon rôle #12b).	
	Let me make certain tribal figures	Laissez-moi faire certaines figures tribales	
	(if that is my part).	(si c'est mon rôle #12b).	
	For this thing the body needs	Pour cette chose #13 dont le corps a besoin	#13: « Cette chose » ({this thing}) est l'utérus qui est partie intégrante de la féminité.
	let me sing	laissez-moi chanter	
	for the supper,	pour un souper #13b,	#13b: « Chanter pour un souper » traduit au mieux « {sing for the supper} », comme dans la comptine « |{Little Tomy Tucker}|http://en.wikipedia.org/wiki/Little_Tommy_Tucker| ». L'expression anglaise « {|sing for one's supper|http://www.collinsdictionary.com/dictionary/english/sing-for-one-s-supper|} » veut dire « obtenir quelque chose en rendant un service » ({obtain something by performing a service}). On dirait familièrement en français « gagner sa croûte en chantant ». Le souper représente les besoins primaires comme manger, procréer, etc.
	for the kissing,	pour un baiser #13c,	#13c: « Pour un baiser » traduit au mieux « for the kissing ». Le « baiser » ({kiss}) symbolise l'amour, les sentiments, l'esprit etc.
	for the correct	pour le correct #14	#14: La tournure est syntaxiquement fausse en anglais car l'adjectif « correct » ({correct}) est utilisé librement sans qualifier de nom. Elle est traduite littéralement en français pour conserver le même effet. Ce qui est « correct », correspond à l'idée de justice, d'équité etc.
	yes.	oui.	
			
source	|In Celebration of My Uterus|http://www.poetryfoundation.org/poem/171281|, Love Poems, 1969, poetryfoundation.org.	En célébration de mon utérus, 08/2013.	
			
url	2013/08/en-celebration-de-mon-uterus.html		
image-src	https://lh5.googleusercontent.com/-MTB7oPTZfJY/Ugjz8QUbcmI/AAAAAAAAFPY/Z1LYvE5Rsww/s144/flying-uterus.jpg		
image-href	https://picasaweb.google.com/lh/photo/nzqpjg1gnYrvS5cIb4wC29MTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Analyses	"Sabina Czyżowska. |{An analysis of the representation of the female body in the scientific and cultural discourse}|http://www.anglisci.pl/wasze-publikacje/an-analysis-of-the-representation-of-the-female-body-in-the-scientific-and-cultural-discourse.html|, www.anglisci.pl
Samantha Lê. |{Special Series on Anne Sexton, part 2}|http://placeofforgetting.wordpress.com/2013/02/11/anne-sexton-in-celebration-of-my-uterus/|, 2/2013, placeofforgetting.wordpress.com"	
