type	english	french	notes
strophe	And what of the dead? They lie without shoes	Et qu'en est-il des morts ? Ils sont allongés sans leurs chaussures #12	#12: « Sans leurs chaussures » ({without shoes}), les morts ressemblent aux vivants, lorsqu'ils sont allongés, pourtant « ils sont plus comme de la pierre » ({they are more like stone}).
	in their stone boats. They are more like stone	dans leurs embarcations de pierre. Ils sont plus comme de la pierre	
	than the sea would be if it stopped. They refuse	que la mer le serait si elle s'arrêtait. Ils refusent	
	to be blessed, throat, eye and knucklebone.	d'être bénis #13, gorge, oeil et articulation #14.	"#13: Sexton imagine que les « morts refusent d'être bénis » ({they refuse to be blessed}), de même qu'elle refuse « la procession rigide vers la tombe » ({the stiff procession to the grave}), par symétrie. L'idée la réconforte, et l'aide à gérer sa culpabilité de ne pas aller jusqu'à la tombe de son père pour le bénir.
#14: Le mot « articulation » traduit au mieux « {knucklebone} », qui est précisément la partie de l'os des doigts qui s'articule avec la paume de la main. Les morts refusent donc aussi : la gorge, d'où émane le souffle de la vie, l'œil, incontournable pour interagir dans le monde des vivants, et l'articulation, symbole du mouvement. Sexton semble penser que « la vérité que les morts connaissent » ({The Truth the Dead Know}) est que la mort est en fait le rejet de la vie. Il faut noter que la vie d'Anne Sexton a été tourmentée par la dépression, et qu'elle s'est suicidée."
			
source	|The Truth the Dead Know|http://www.poetryfoundation.org/archive/poem.html?id=171272|, All My Pretty Ones, 1962, poetryfoundation.org	"La vérité que les morts connaissent, 4/2011
|Récité|http://youtu.be/S8cJkEK7cE0| par Anne Sexton"	
			
url	2011/04/la-verite-que-les-morts-connaissent.html		
image-src	https://lh6.googleusercontent.com/-i5LMAR9A-tk/TZiZbTfwBWI/AAAAAAAAC40/MJXbEIRz06M/s144/stone-man.jpg		
image-href	https://picasaweb.google.com/lh/photo/dtj6SSa1sj3hU67RjPKxUdMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Analyse	"|{On ""The Truth the Dead Know""}|http://www.english.illinois.edu/maps/poets/s_z/sexton/dead.htm|, english.illinois.edu"	
