type	english	french	notes
	fixed the suppers for the worms and the elves:	j'ai préparé le souper pour les vers et les elfes #16 :	#16: La sorcière a « préparé le souper pour les vers et les elfes » ({fixed the suppers for the worms and the elves}), alors que dans « les maisons ordinaires » ({the plain houses}), les mères de famille préparent le souper pour les animaux de compagnie et les enfants.
	whining, rearranging the disaligned.	pleurnichant #17, en réarrangeant les mal alignés #18.	"#17:  Malgré les efforts de la sorcière qui essaye de se comporter comme une bonne mère, « les elfes/pleurnichent » ({the elves/[are] whining}).
#18: « En réarrangeant les mal alignés » traduit au mieux « {rearranging the disaligned} ». Le mot « {disaligned} » est un mot inventé, le mot correct serait « {misaligned} ». L'auteur a pourtant choisi ce mot pour mettre en valeur le comportement étrange de la sorcière. Le mot « désaligné » existe, mais « les mal alignés », bien que maladroit, semble plus approprié pour transmettre la même impression d'étrangeté. Cette tournure permet aussi de s'affranchir de l’ambiguïté quant à ce qui est effectivement désaligné, c'est à dire les objets ou les elfes."
	A woman like that is misunderstood.	Une femme comme ça est mal comprise.	
	I have been her kind.	J'ai été de son genre.	
			
strophe	I have ridden in your cart, driver,	Je #19 suis monté dans ton chariot #20, conducteur #21,	"#19: Dans cette strophe, « je » ({I}) représente la même sorcière à laquelle Sexton s'identifie (voir la note  #1), mais aussi la femme adultère.
#20: Il s'agit du « chariot » ({cart}) dans lequel les condamnés sont emmenés au supplice.
#21: Le « conducteur  » ({driver}) représente à la fois le bourreau et l'homme avec qui elle commet l'adultère. La sorcière, emmenée dans un chariot conduit par un autre,  montre qu'elle a peu de maîtrise sur son destin. L'adultère est un thème récurrent dans l'oeuvre de Sexton, elle a eu elle-même de nombreuses aventures extra-conjugales lors des absences répétées de son mari."
	waved my nude arms at villages going by,	j'ai fait signe avec mes bras nus #22 aux villages qui défilaient,	#22: « J'ai fait signe avec mes bras » ({[I] waved my arms}) est un geste de défiance et de contentement, toutefois dépourvu d'agressivité. Les bras de la sorcière, qui sont précisément « nus » ({naked}), contraste avec les « villages » ({villages}) dont les spectateurs ne sont même pas mentionnés, et annoncent l'adultère.
	learning the last bright routes, survivor	découvrant les dernières routes étincelantes, survivante #23	#23: « Découvrant les dernières routes étincelantes » traduit au mieux « {learning the last bright routes} ». Après avoir accompli sa mission « sur les maisons ordinaires, lumière après lumière » ({over the plain houses, light by light}), la sorcière a le sentiment illusoire d'avoir réussi, et se considère comme une « survivante » ({survivor}).
	where your flames still bite my thigh	là où tes flammes mordent encore ma cuisse #24	#24: Les « flammes » ({flames}) sont celles du bûcher où les sorcières étaient brûlées. Les flammes représentent aussi la passion et le plaisir sexuel ressenti par la femme adultère.
	and my ribs crack where your wheels wind.	et mes côtes craquent où tes roues s'entortillent #25.	#25: « Tes roues s'entortillent » traduit au mieux « {your wheels wind} ». L'image est forte et rappelle le supplice de la roue. Elle suggère aussi l'étreinte des corps poussée à son paroxysme, au point que les « côtes en craquent » ({ribs crack}), au sens figuré.
	A woman like that is not ashamed to die.	Une femme comme ça n'a pas honte de mourir #26.	#26: La sorcière « n'a pas honte de mourir » ({is not ashamed to die}) car elle croit en sa différence vis à vis des autres, de même que la femme moderne n'a pas honte de continuer son combat jusqu'au bout.
	I have been her kind.	J'ai été de son genre.	
			
source	"|Her Kind|http://www.poetryfoundation.org/archive/poem.html?id=171268|, To Bedlam and Part Way Back, 1960, poetryfoundation.org
|Récité|https://www.youtube.com/watch?v=btz8RZHSQ2Q| par Anne Sexton"	Son genre, 4/2011	
			
url	2011/04/son-genre.html		
image-src	https://lh5.googleusercontent.com/-bCYhWHXInqQ/Uf5eF8cvMDI/AAAAAAAAFOU/GLpgUM4Opho/s144/her-kind-as-a-witch.jpg		
image-href	https://picasaweb.google.com/lh/photo/VnxfTc38Mx22JwqW2ElMftMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Analyses	"|{On ""Her Kind""}|http://www.english.illinois.edu/maps/poets/s_z/sexton/herkind.htm|, english.illinois.edu
|{Analysis of Anne Sexton's Poem ""Her Kind""}|http://www.echeat.com/essay.php?t=32962|, 2007, echeat.com
Megan Ashley. |{""Her Kind""}|http://shslineberger.pbworks.com/w/page/14997851/%22Her-Kind%22|, 9/2009, shslineberger.pbworks.com"	
